,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID
97,IRON,I,ejbCwg0caEaRiMnI1f0peQ1NN1dmTK0_1mYQvX-vmG2RAfhj,fullrune175k,70,7,8,15,46.666666666666664,3.0072129255626083,64.0
98,IRON,I,1Xc1OCRjjdfF_cyYF3O1iacH3S1bf4Kd-Uuct0lYZOnUZslK,Betrixx,86,17,15,32,53.125,1.2854343345609351,254.0
99,IRON,I,EYaA9aX3ssrBGhZa2ts00MDzOQ4xFhTpOE9Gi7HbI0R9jvca,Softball,43,16,19,35,45.714285714285715,2.20712381975579,117.0
100,IRON,I,GalJjd-3fGEBXZ38kz2c1iqJBJhjwg5h_zGyWVnvgmyNtoAe,DaddySly,75,63,89,152,41.44736842105263,1.2746221188701183,81.0
101,IRON,I,0Frd6wmLsKeRFWs9CFcegBY2wR-55DKiH6QaJB8IoPgB2huG,Choros1221,0,5,9,14,35.714285714285715,1.45059874079256,150.0
102,IRON,I,v8kneG4ta6lciM_y1lxfkGF-zA1hKDv5ubHrQzuSsUZ2tqwE,Exoneratez,0,8,15,23,34.78260869565217,1.043141109654871,145.0
103,IRON,I,vlLn-nFN_2YVxly4zHp63_iY7ttXzX-RY8F_9FIX7W64Eb__,ChrisGamer123,64,8,14,22,36.36363636363637,3.710741751426445,17.0
104,IRON,I,gwm0uF5nVv5_k-LzMOnW_lHBeL-lgKwxElM4mPrVvcFeE0Ru,sushibarista,56,8,14,22,36.36363636363637,2.36649695485451,91.0
105,IRON,I,0rtrf939VPzQcI7PARH7Vqxsg27tccy5F4eyMCPn4f7MxYVa,Spades787,45,78,88,166,46.98795180722892,3.8323916686617188,18.0
106,IRON,I,2tkz9UPbozMcocPM9r79X4v02LeUz6o7pG6pBxgPXDib1uZs,Veronsia,0,6,17,23,26.08695652173913,1.1035600769631448,141.0
107,IRON,I,eIiYjwGj9Wk7DnyI2B05LhCpqJc9Hv5_KUwtYq6wAsBhEGCp,Great Ganymede,70,10,9,19,52.63157894736842,1.701734202565086,82.0
108,IRON,I,YMt63kaz1qbAWt0IOB2E9xVGl5rEOTzK_K_ZIDTMhZGScbMs,ziggyziggler,57,6,18,24,25.0,1.5376589110098344,103.0
109,IRON,I,lM808yUznPXuFWOqx7WSCiiCP29SuUgrpvoZrjT10L1EWDlR,LittleLope,16,5,10,15,33.33333333333333,1.4927796586747737,81.0
110,IRON,I,D9KfYLJFJdZJXPI2Q0SXGPyhzTmqiPDArLSaM1G1R_DQvDiK,KrýpT01,19,6,9,15,40.0,1.5485322383365367,17.0
111,IRON,I,-s2TWMbwzuPohoeQBwE4hLoQcIma2oO0oyqvh4WVieI9Stj6,DMXZC,86,4,9,13,30.76923076923077,1.4167390868373555,122.0
112,IRON,I,dSLzcU_GJYowh4-_xZwIDkgtA2Or4R5GOJkfqDEfchPBtS_i,Anonmely,40,7,3,10,70.0,4.477798179628423,555.0
113,IRON,I,oalGi8GFkDGEjpcrQvd5yf5uVhJ5xvUe_Sjzhm6FjdBao4Aq,Apkallu,38,3,9,12,25.0,1.1966016991504247,74.0
