,Unnamed: 0,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID,key,name
361,4020,PLATINUM,IV,U6jj5h7TghhTHG6agRpJQrxwVMYvwY3eDlks86cTtUF-Gd5P,Radîcal,0,236,239,475,49.684210526315795,5.180989079579279,50.0,50.0,Swain
362,4068,PLATINUM,IV,L-2ZAO72Cz5u0-tHE9OtPjiZwVQ6XP3TwH8h83eAB8GJgkj1,LoseLaneGetCaryd,100,57,37,94,60.63829787234043,6.136014165229953,27.0,27.0,Singed
363,4074,PLATINUM,IV,l29QRs1VbDk8JOSadd5NDwpDdkYXm0_JhDmoVa2nzvP0-K4M,1320zach,0,7,9,16,43.75,5.246152059011441,126.0,126.0,Jayce
364,4083,DIAMOND,I,lWaNTgZ3QGhRC3-l_jiVoXxnNTau1VUbWeihEmxJGkjWLu7n,Warring Kingdoms,35,191,189,380,50.26315789473684,10.518851145767496,76.0,76.0,Nidalee
365,4099,DIAMOND,I,tKBVzpzqQAWUbp_8FaEhpHm4juQRaPTo4iUw9P3nOutjhhsh,B0BBY,72,25,23,48,52.083333333333336,5.547962567238965,69.0,69.0,Cassiopeia
366,4225,DIAMOND,II,x4Qjxe2rrXJvJ69FFHW2eopfrb33-Wpcw4TWWyYPc6AnVoEQ,Quinn DAD,0,20,19,39,51.28205128205128,29.90464161667193,133.0,133.0,Quinn
367,4288,DIAMOND,III,zLfvNqjiS1ZLnVEHkGZEC9cum95jD86_gawY_7nSb0c_Vk0V,G0UGE EM VALOR,34,30,19,49,61.224489795918366,27.039392031657524,133.0,133.0,Quinn
368,4279,DIAMOND,II,2uTt6gCx_F82nwUKkBbr9836JmaJUW-RKHMsC6jFCeNotVhB,IamZiggy,84,198,192,390,50.76923076923077,12.175858599716468,115.0,115.0,Ziggs
369,4351,DIAMOND,III,l2f2eHOV1rcAI_HnR9Ri3FbI1PP7CF_AHx6lSJqItTYodylQ,Sexpeku,75,39,36,75,52.0,13.295878636497207,134.0,134.0,Syndra
370,4445,DIAMOND,IV,GyhjYzS2ROgFQgP2AqPxRb49ZgFgYaV_lACylyvf0opxxQvq,CoD Athlete,0,36,40,76,47.368421052631575,12.221193242408937,34.0,34.0,Anivia
371,4448,DIAMOND,IV,Da3xo-G5gJw6fwPRZOunGDoC02IEoZTJE7SFrijvvTzJ7ui6,Hiyu,16,85,115,200,42.5,53.33267370272648,68.0,68.0,Rumble
372,4451,DIAMOND,IV,LZrpAmgo74-9x1aU84YljJckGfDdxhGqca4yPXjXpfHFW9Ap,Potato Odyssey,23,44,37,81,54.32098765432099,16.621432988779926,5.0,5.0,Xin Zhao
373,4472,DIAMOND,IV,wfyvjoRDawNIdCQqTzZg2i06jKEOiwt-eTf0KJkgMGejXHdJ,GUNTERCAT,8,19,38,57,33.33333333333333,32.99343165200149,85.0,85.0,Kennen
