,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId,tier
3086,22,6,127141,1579384929000,105541,0,False,0,KyOFW_eBelIYMjAdedLTf9tUY5ZWwTAPmYUdPlq34ktjoZJ2,BRONZE
3087,555,7,129904,1583977695000,108304,0,True,0,E95teZ0bHclHBX2xQ7RrLDCSpxKfaNbu0mqUviaqbVd4yKwE,BRONZE
3088,86,6,109377,1583613704000,87777,0,False,0,E95teZ0bHclHBX2xQ7RrLDCSpxKfaNbu0mqUviaqbVd4yKwE,BRONZE
3089,266,6,49625,1582519273000,28025,0,False,1,E95teZ0bHclHBX2xQ7RrLDCSpxKfaNbu0mqUviaqbVd4yKwE,BRONZE
3090,50,7,96650,1584048051000,75050,0,True,0,ytx6NaDPatAZNYBtiyR6GUcf-NJfMpKObikImUBbG0t016c5,BRONZE
3091,101,6,43152,1584031538000,21552,0,True,0,ytx6NaDPatAZNYBtiyR6GUcf-NJfMpKObikImUBbG0t016c5,BRONZE
3092,412,7,40552,1582567909000,18952,0,False,0,ytx6NaDPatAZNYBtiyR6GUcf-NJfMpKObikImUBbG0t016c5,BRONZE
3093,161,6,408006,1583987902000,386406,0,True,3,mbfzgETW5bVWkKKSOdU5D6gFtV76McE4HBdHIANVVVIfe_O0,BRONZE
3094,25,7,298163,1583879480000,276563,0,True,0,mbfzgETW5bVWkKKSOdU5D6gFtV76McE4HBdHIANVVVIfe_O0,BRONZE
3095,21,5,95530,1582674723000,73930,0,False,0,mbfzgETW5bVWkKKSOdU5D6gFtV76McE4HBdHIANVVVIfe_O0,BRONZE
3096,86,7,117185,1583081145000,95585,0,True,0,JWPNa0anxr_ugCPz9CtXAD3ttN4-T8eIp3SRlCqD1pW0VYU3,BRONZE
3097,114,6,66936,1583098632000,45336,0,False,1,JWPNa0anxr_ugCPz9CtXAD3ttN4-T8eIp3SRlCqD1pW0VYU3,BRONZE
3098,101,6,43727,1583206982000,22127,0,True,2,JWPNa0anxr_ugCPz9CtXAD3ttN4-T8eIp3SRlCqD1pW0VYU3,BRONZE
3099,497,7,86007,1583718115000,64407,0,True,0,WGxum7Vf0tC2RsUywxQd51ar4aGkNEyIoIKc_rXOLoDIQBYp,BRONZE
3100,44,7,81350,1583977957000,59750,0,True,0,WGxum7Vf0tC2RsUywxQd51ar4aGkNEyIoIKc_rXOLoDIQBYp,BRONZE
3101,50,7,80643,1583966477000,59043,0,True,0,WGxum7Vf0tC2RsUywxQd51ar4aGkNEyIoIKc_rXOLoDIQBYp,BRONZE
3102,122,5,30153,1583630618000,8553,0,True,0,Ks2wojoW9dDxeqUDLx4mtcTA___ZXOh-v6lIBbS7IwPOVdnL,BRONZE
